Dates,Scores,Reviews
Mar 4 2024,positive,i see as many new movies as i can and this was the best in the last 12 months at least and i just saw dune 2 which was great the soundtrack made the movie great visual effects on top of that hands down the best best godzilla since the original
Mar 4 2024,positive,an excellent monster movie that features human drama just as compelling
Mar 3 2024,positive,a monster of a film this was one of my favorites of all timeit may even make the top 10 list the story was fantastic and unexpected i laughed cried and cheered for the protagonist the entire way who knew that a giant monster could win my heart love
Mar 3 2024,positive,the best godzilla movie ever created on par with the original
Mar 3 2024,positive,absolutely fantastic the story is meaningful and impactful redefines what a modern day godzilla movie can be
Mar 3 2024,positive,if you dont like this movie you are a sissy ducker that sucks dicks simple as that
Mar 2 2024,positive,yesthats kind of it
Mar 1 2024,positive,absolutely amazing movie loved the visuals and the storyline
Mar 1 2024,positive,first monster movie to make me cry
Feb 28 2024,positive,no doubt the best godzilla movie of all time
Feb 28 2024,positive,its godzilla folks what more can i say
Feb 27 2024,positive,with real careable characters compelling story and the horrorific godzilla this becomes a perfect movie
Feb 27 2024,positive,amazing they could do so much with such a relatively small budget the movie hits hard and doesnt rely solely on over the top action scenes to entertain and keep the audience engaged the human story is powerful the acting top notch and the writing well this is the best written godzilla movie of all time
Feb 25 2024,positive,this movie was great i cant wait for another godzilla to come out 
Feb 25 2024,positive,this is so much better than the monsterverse movies   watching this movie made me feel like i was 5 again watching the 70s80s godzilla movies
Feb 25 2024,positive,the story of the human characters was beautiful and the best feature here not the giant lizard it could have been better and far more realistic although i appreciate thats not what this was aiming for with an environmental threat that didnt involve a cgi headache hogging so many scenes
Feb 24 2024,positive,the best movie of 2023 endlessly rewatchable every character has a strong arc and action scenes are edge of your seat poignant and super smart
Feb 24 2024,positive,this movie is unbelievably good  i was expecting more of a action type of godzilla but in japanese  but the story itself was completely s tier writing the best movie of 2023
Feb 24 2024,positive,the perfect example of how to make an ideal film
Feb 22 2024,positive,godzilla minus one is possibly the best entry for the character the visual effects are absolutely astounding and the human characters are actually compelling this feels like a modern take on the classic gojira film from the 1950s but for a new generation of fans to enjoy
Feb 22 2024,positive,i think ive seen all the godzilla movies and this is my favorite by far one of the best five movies of 2023 try to see it on the big screen also saw minus zero which i  and my 12yearold son  loved as much if not more
Feb 21 2024,positive,fist things first  this movie would be best pic material if godzilla was not in the film the human story is that good    this movie is special and different its a human story with godzilla in the backround and it works great we see just enough pof him that we are satisfied but the human drama is excellent morbid realistic and very well written    this movie to americans may come off as terryifying in some scenes americans may find the japanese dialect  as very nerve wrecking  simply put a great analogy    minus to the godzilla films is joker to the dc films    its just different and way way better if you ask me the mosterverse in usa looks laughably bad compared to this film  mark my words    this flick will break streaming records in america for a international release when it comes out
Feb 20 2024,positive,possibly movie of the year and clearly the best godzilla film some of the acting was a bit over the top for me but in general an awesome movie with some meaningful themes where i actually care for human characters in a godzilla movie which in itself is a great achievement 
Feb 20 2024,positive,pretty good all in all
Feb 19 2024,positive,literally so good that you could take godzilla out of the movie and itd still be fantastic
Feb 19 2024,positive,never did i think in a million years that a godzilla movie would make me sob in the theater like a child after it finished and make me have a ten minute long train of thought about life death selfsacrifice war and the value of life good god this movie is good i genuinely think this is one of the best movies ever made and definitely the best godzilla movie please go see it if you get a chance you will not be disappointed
Feb 17 2024,positive,the best godzilla film and i think it is far more better than the american version of godzilla every godzilla fan and non godzilla fan should watch this filmnote you dont need watch any other films to watch this film because its a complete reboot thanks for reading my review 
Feb 16 2024,positive,i am a huge godzilla fan  this was the best godzilla movie that has been made so far  normally when i am watching these movies i dont feel like the plot line is very strong  so i really enjoy the monster fighting although it seems as though while the monsters are fighting we are cutting away to the human characters talking about   some inane thing  this story was engaging enough that you didnt really miss that godzilla wasnt in the movie constantly
Feb 16 2024,positive,leave it to japan to totally outdo hollywood at their very own game with a fraction of the budget one would normally get for something of this magnitude and scale simply put the best godzilla movie to date awesome visuals and a thoroughly engrossing storyline with human characters you actually care about something i couldnt say the same thing about with apple tv pluses monarch legacy of monsters in my opinion    as mentioned the characters and story were true standouts and godzilla was portrayed as the most fierce and menacing monster ive ever seen before onscreen through so many films over the years when this monster is walking you genuinely feel the tremendous impact with every footstep taken    loved the character arc for the lead actor and for those not familiar with why this total was chosen its done with reference to japan being characterized at level zero in terms of the state of fragility with this country following the conclusion of world war 2 and with this new ever menacing threat its now a step below this    great actions sequences and a feelgood movie that delivers in spades superbly crafted the director takashi yamazaki has said he will take his time as far as coming up with a great sequel and im completely fine with this take all the time you need if it means something similar here can be redone with new aspects     loved some of the careful and proper nods paid by the director to classic thriller movies before this like jaws for one extremely well done
Feb 15 2024,positive,perfection hollywood has everything to learn from this gem though i do enjoy the monsterverse films theyre nowhere near the level of artistry this film has to spare as good as could be hoped for  and then some i love this film and am still angry i wasnt able to see the monochrome version in theater hoping theyll both be on the bluray  that its released sooner than later
Feb 14 2024,positive,not only the best godzilla movie but the best possible godzilla movie maybe its just that most of the other godzilla movies arent that great but in my opinion there is nowhere else to go from here because minus one is perfect shakespeares tragedies absolutely cannot match the absolute despair i felt when i realized i couldnt put six stars
Feb 14 2024,positive,beautiful and well made movie i saw three times in theaters and cannot wait to own this forever
Feb 13 2024,positive,the best film of 2023 great script excellent visual effects fantastic performances an emotional and great film simply the best japanese film ive ever seen
Feb 13 2024,positive,yep this is it the best movie of 2023 no questions asked take notes hollywood
Feb 13 2024,positive,this movie kicked ass no lie you think youre getting an monster mash movie which is fine those are fun but youre getting a deeply layered earnest story about family love bravery mental trauma courage and the value of a human life scary monster good effects great story wonderfully done
Feb 13 2024,positive,one of the best films to come out in the past few years in my humble opinion excellent story writing dialogue to action ratio is well balanced some of the most compelling characters ive ever seen portrayed in a film and a great musical soundtrack way to go japan keep it up 
Feb 11 2024,positive,a surprising win we loved it
Feb 10 2024,positive,this movie was breath taking with stunning effects godzilla minus one is my favourite godzilla movie in the franchise and one of my favourite movies ever
Feb 10 2024,positive,this movie was so beautiful i did not expect something so emotional and powerful a great godzilla intro movie i think a great combination of action and plot that leaves you wanting to learn more about godzilla if you dont already know
Feb 9 2024,positive,utterly terrifying and riveting movie on godzilla
Feb 8 2024,positive,one of the best films i have seen in a while the design of godzilla was phenomenal and i was left speechless during the scenes which featured him the soundtrack too wow    also i felt fully connected to all of the characters who led most of the story i understood their motives and decision making and felt strong emotions to the twists and turns of the film   it showed the braver side of humanity during a time of big hollywood films demonising different groups   i forgot i was reading subtitles for most of the film a truly fantastic watch that i highly recommend you see
Feb 8 2024,positive,this might be one if the best films ive ever seen it really felt like an authentic film the story freaky sucks you in godzilla wasnt even the star of the first half of the time and by the time he makes a reappearance youre invested into the characters  and feel the pain they go through
Feb 7 2024,positive,surprisingly good always amazed and should not be but it is what it is when i see such emotion and silliness and  humaness in the asian characters obviously prefer to see a movie without subtitles but this was a real surprise and very good fun even
Feb 7 2024,positive,ive always been a fan of godzilla but this movie is spectacular great story and incredible visual effects godzilla movies are usually just escapist fun but this movie has a very heavy plot dealing with ptsd and loss it also treats godzilla as a terrifying bad guy in the true sense of his origin also got to see this movie a second time in 4dx wow if you get the chance  do it
Feb 6 2024,positive,this movie was amazing this design of godzilla was downright one of the best and the human characters were great maybe the acting was pretty forced but the movie writers put so much work into making the characters great and compelling and you critics who rate these movies on their cgi just shut up seriously its so stupid even if we were grading movies on their cgi godzilla minus one would be praised which it is this movie did so much for a budget that was only 10 to 15 million dollars and i hope that there is a new movie that takes 5 years to make if it takes one year i fear for the integrity of the first godzilla films
Feb 6 2024,positive,best movie of 2023 easily
Feb 6 2024,positive,one of the best godzilla film ive seen for a long time
Feb 6 2024,positive,such a great movie to watch a fresh of breath air to the copy paste formula hollywood has since replicated the movie although is titled godzilla is very much about people how they relate to each other especially after losing ww2 how they try to heal from that when all of a sudden theyre all faced with the enormous obstacle that is godzilla
Feb 6 2024,positive,i grew up on godzilla mostly the american version but this outdid anything the legendary put out by a long shot and legendary is my favorite godzilla i watch legendary all of the time but this is the perfect movie to balance the dumb kaiju fights with serious and villainous godzilla loved it top of the line movie would most definitely recommend to anyone
Feb 6 2024,positive,its the best take on a godzilla movie yet you actually get the human perspective
Feb 6 2024,negative,movie is horrible its the worst movie about godzilla
Feb 6 2024,positive,ive seen this 3 times 2 in color and 1 in bw  this is the best version of godzilla since the original in 1954 and a welcome respite from mcu and the monsterverse   ive also seen all the major films in 2023 and i would rate this even or just above oppenheimer  it is that good  the only disappointment is that they pulled it to make way for another monsterverse film which after this masterpiece can only disappoint us  this movie has set the bar that high
Feb 5 2024,positive,this movie is the best movie you have to see this movie because how much money it made is worth it because first is how great it looks please give this movie 1010 now theaters plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
Feb 5 2024,positive,godzilla was fantastic   just not enough of him   instead we get sappy love story
Feb 5 2024,positive,this is one of the best movies ive ever seen no seriously ive never been a fan of godzilla and let alone the japanese audio and didnt have very high expectations for the movie but it was amazing and i will definitely be rewatching it on streaming services once released
Feb 4 2024,positive,probably the best godzilla movie i have ever seen recommend seeing this if you like big nasty monsters
Feb 4 2024,positive,its like if a film had godzilla in it
Feb 4 2024,positive,saw minus color  the bw made the film even more fantastic  if you have the option to see it that way i highly recommend  but if not watch it in color its a movie you shouldnt miss
Feb 3 2024,positive,compelling and entertaining
Feb 3 2024,positive,wow  a monster movie with a plot  a must see if youre a godzilla fan
Feb 3 2024,positive,best movie of 2023 best godzilla movie ever i had a great time
Feb 3 2024,positive,simple old style gojira interesting storyline a real treat
Feb 3 2024,positive,an awesome and emotional movie even for a godzilla film
Feb 3 2024,positive,watched the decolorized version fantastic movie uses godzilla as a tool to drive the humancentric story in my inexperienced opinion it succeeds in transporting the viewer back in time to japan shortly after the war
Feb 3 2024,positive,this reboot of the godzilla movie felt like a more serious science fiction story and was more enjoyable for it
Feb 2 2024,positive,one of the best movie in 2023 awesome
Feb 2 2024,positive,really fun and well crafted  yes to seeing it on the big screen if humanly possible
Feb 2 2024,positive,awesome but zilla is my boy i have seen   them alland i love them all
Feb 2 2024,positive,the rare viewing experience that was a mix of awe eyerolling and suspense
Feb 2 2024,positive,incredible film not one flaw
Feb 2 2024,positive,i did not see the original color release of godzilla minus one but friends had recommended i see it being over 70 years old seeing the minus color version took me back to my saturday afternoon matinees as a kid it was very much like watching the old films i remember but better
Feb 2 2024,positive,story and special effects where great
Feb 2 2024,positive,cinematography was perfect action seen were well done and didnt feel overdone or cheesy
Feb 2 2024,positive,one of the best godzilla films ever got a great story with the humans and seeing godzilla on big screen and hearing the iconic theme on it as well gave me goosebumps definitely a 1010 film
Feb 2 2024,positive,excellent movie probably the best godzilla movie ever made even if youre not a fan of monster movies its still an excellent movie in its own right i hope they make more
Feb 2 2024,positive,great storyline totally over my expectations
