emsId,genres,title,audience,critics,Date of Movie Release,Scraped Audience,Scraped Critics
0e521048-ac62-314f-9f61-92449cf3d322,"Biography, Drama",American Underdog,98,76,2021-12-25,TRUE,TRUE
8b8452dc-d25b-3746-9061-692f7c2ee9d5,"Action, Adventure",The King's Man,80,40,2021-12-22,TRUE,TRUE
90e805f4-751a-36f1-b441-3612a87e910c,"Sci-Fi, Action",The Matrix Resurrections,63,63,2021-12-22,TRUE,TRUE
b18bb115-6219-4303-af98-15d9cbb3d1f9,"Mystery & Thriller, Crime, Drama",Nightmare Alley,68,80,2021-12-17,TRUE,TRUE
37409a82-f3ab-3187-b0da-efeefa489456,"Action, Adventure, Fantasy, Comedy",Spider-Man: No Way Home,98,93,2021-12-17,TRUE,TRUE
9cab271d-5782-3b51-a835-3163e38deff7,"Musical, Romance",West Side Story,93,92,2021-12-10,TRUE,TRUE
e3c5c713-e974-3669-a62d-7fd43698c110,"Kids & Family, Musical, Comedy, Fantasy, Animation",Encanto,93,91,2021-11-24,TRUE,TRUE
443ad14f-5128-3156-a485-61501aee0b1d,Drama,House of Gucci,83,61,2021-11-24,TRUE,TRUE
18804a0a-cd50-3e1d-b93e-53a9a9c3a454,Drama,The Unforgivable,75,39,2021-11-24,TRUE,TRUE
4267e27d-ef4d-39cd-ac51-85725639f997,"Comedy, Fantasy, Adventure",Ghostbusters: Afterlife,94,64,2021-11-19,TRUE,TRUE
2ecfc419-4738-3e17-9a26-1545a1fec6b9,"Biography, Drama",King Richard,98,90,2021-11-19,TRUE,TRUE
4681a156-a924-4af0-8ce6-87d3a5f741c9,Drama,Belfast,92,86,2021-11-12,TRUE,TRUE
f12f3cd4-4c2e-3d41-966a-5d8a46e691ec,"Kids & Family, Comedy, Adventure",Clifford the Big Red Dog,94,58,2021-11-10,TRUE,TRUE
2289d276-2f05-3965-a4d3-c2377c2fb0d6,"Action, Adventure, Fantasy",Eternals,77,47,2021-11-05,TRUE,TRUE
80dab2e9-ca87-3783-ae0d-4be54799c0a2,"Holiday, Romance, Comedy",Love Hard,90,53,2021-11-05,TRUE,TRUE
f7c22bab-5d5e-3b2e-a8a6-bd138df977ee,"Sci-Fi, Adventure, Action, Fantasy, Drama",Dune,90,83,2021-10-22,TRUE,TRUE
22b55465-e7d6-34cc-afc3-a77137ccb3b8,"Holiday, Horror, Mystery & Thriller",Halloween Kills,66,39,2021-10-15,TRUE,TRUE
f0332c7a-b0aa-3c80-a064-ab3e2eb643ca,"Action, Adventure, Mystery & Thriller",No Time to Die,88,83,2021-10-08,TRUE,TRUE
4e7cd6d7-8e5d-4e13-bceb-577560f6318a,"Comedy, Stand-Up",Dave Chappelle: The Closer,95,36,2021-10-05,TRUE,TRUE
6b5b79bc-a406-3949-a53b-1197f2a137ff,"Kids & Family, Comedy, Adventure, Animation",The Addams Family 2,69,28,2021-10-01,TRUE,TRUE
322d9194-59fe-3d70-b39e-a782a23b94e9,"Musical, Drama",Dear Evan Hansen,88,29,2021-09-24,TRUE,TRUE
be3dd09a-1f1e-3f3a-abb8-698b1b4ed7d7,"Crime, Drama",The Flock,32,,2021-09-23,TRUE,TRUE
